;fcitx Version 0x03 Table file
KeyCode='abcdefghijklmnopqrstuvwxyz.,;
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
'	去
btod	囊括四海
btgc	凝视
btgu	凝神
btko	凝重
btkc	凝滞
bt,d	凝望
bt,f	扭亏为盈
btqq	宁夏
btqb	狞笑
btqf	宁可信其有
btfp	宁愿
btfm	南柯一梦
bteq	南开大学
bnx,	南来北往
bnxd	哪里不好
bn.g	逆流而上
bnci	酿成
bncg	酿出
bnhq	娘家
bnh'	酿酒
bnhh	拿了鸡毛当令箭
bnt'	哪凉快哪呆着去
bnnk	年利率
bnng	年老力衰
bnne	脑力劳动
bnmu	娘们
bnmc	酿蜜
bnbl	捏了捏
bnbn	娘娘
bnby	挠了挠头
bn'x	娘亲
bnog	年老色衰
bnoh	能力所及
bnye	娘胎
bnyp	年老体弱
bnyg	年老体衰
bngg	逆来顺受
bnk	奴隶制
bnkc	酿制
bnkx	女流之辈
bnkb	牛郎织女
bnfd	捏了一把汗
bn;c	娘子
bn;j	酿造
bmxj	年报
bmxb	年表
bmxf	纳米比亚
bmjr	念错
bmer	那么多
bmej	念叨
bmee	年代
bmec	年底
bmeg	年度
bmeb	那么多年
bmep	那么多人
bmef	浓眉大眼
bm.g	怒目而视
bm.u	南无阿弥陀佛
bmuu	年份
bmur	念佛
bmug	黏附
bmu,	年费
bmig	内蒙古
bmij	年糕
bmi'	内蒙古自治区
bmip	年关
bmdj	年号
bmd.	黏合
bmdr	年货
bmdg	那么回事
bmdk	年会
bmdq	年华
bmd;	年后
bmcu	脑满肠肥
bmch	年产
bmcg	年初
bmc;	黏稠
bmh	年级
bmhx	年仅
bmhc	年纪
bmht	念经
bmhm	年检
bmhl	年节
bmh'	念旧
bmhq	年假
bmhf	年均
bmnt	年龄
bmnj	年老
bmnc	年利
bmnf	年轮
bmnk	驽马恋栈
bmme	年迈
bmmh	年满
bmmr	年末
bmb,	年内
bmbm	年年
bmlg	年谱
bm't	年轻
bm'c	年期
bm'm	年前
bmo	年岁
bmoo	念诵
bmok	碾碎
bmyp	年迈体弱
bmyg	黏土
bmy;	念头
bmgj	年少
bmgu	年审
bmgg	念书
bmgc	农贸市场
bmk;	南美洲
bmkj	浓墨重彩
bmkd	年长
bmko	年终
bmkg	念珠
bmkc	粘滞
bm,,	年尾
bmq	匿名信
bmqx	年薪
bmqc	年息
bmqt	黏性
bmqn	念想
bmqm	年限
bmfy	年月
bmfa	碾压
bmf.	黏液
bmfg	鲇鱼
bmf;	年幼
bmfh	脑膜炎
bm;c	脑门子
bbop	尿酸
bbxg	尿布
bbx,	念念不忘
bbxq	男女不限
bbxq	哪能不湿鞋
bbej	尿道
bbeh	鸟蛋
bbel	男女搭配
bb.p	鸟儿
bbuu	鸟粪
bbdg	尿壶
bbdd	黏黏糊糊
bbcj	鸟巢
bbcn	尿床
bbhc	尿急
bbhm	尿检
bbth	鸟瞰
bbti	难能可贵
bbn,	鸟类
bbno	鸟笼
bbnf	男女老幼
bbng	男女老少
bbmt	鸟鸣
bbbb	尿尿
bbbb	扭扭捏捏
bbbr	袅娜
bblx	尿频
bblm	尿片
bble	男女平等
bb'	娘娘腔
bb'n	鸟枪
bb'y	鸟雀
bbpu	鸟人
bbp;	鸟肉
bbpd	泥牛入海
bbo	年年岁岁花相似
bboo	年年岁岁
bbog	尿素
bbyd	尿糖
bbyc	鸟啼
bby;	鸟头
bbyy	袅袅婷婷
bbg'	男女授受不亲
bbg;	鸟兽
bb,d	能奈我何
bb,,	腻腻歪歪
bb,r	鸟窝
bbfg	鸟语
bbf.	尿液
bbfd	鸟样
bbfo	鸟用
bbfj	念念有词
bbfc	尿意
bbff	年年有余
bb;	努努嘴
bb;k	鸟嘴
bb;f	喃喃自语
breo	挪动
brug	懦夫
brcg	挪出
brmc	糯米
brbr	诺诺
brpr	懦弱
br,,	挪威
br,r	挪窝
brfc	挪移
brfh	诺言
brfo	挪用
bliu	孽根
bld.	啮合
blcg	孽畜
blci	捏成
blhn	女怕嫁错郎
blnf	拿破仑
bllh	涅槃
bl'c	牛脾气
blpg	嗫嚅
blpd	男怕入错行
blok	捏碎
blod	泥菩萨过河
blgc	哪怕是
blke	孽债
blkd	孽障
blko	孽种
blkg	捏住
blkc	牛皮纸
blqp	牛皮癣
blf	女朋友
blf;	男朋友
bl;j	捏造
bl;c	镊子
b'ac	纽埃
b'xc	牛逼
b'xe	南腔北调
b'xy	南拳北腿
b'xk	怒其不争
b'xn	宁缺不滥
b'ee	纽带
b'ea	扭打
b'ej	牛刀
b'eo	扭动
b'eg	牛犊
b'ef	牛顿
b'.p	牛耳
b'uu	牛粪
b'ig	牛股
b'ir	扭过
b'dq	年轻化
b'do	能掐会算
b'dn	牛黄
b'dl	鸟枪换炮
b'ca	牛叉
b'c.	牛车
b'cc	怒气冲冲
b'cy	怒气冲天
b'ck	弄巧成拙
b'hx	牛津
b'hb	牛角
b'hg	扭矩
b'tk	扭亏
b't;	纽扣
b'n.	哪去了
b'nc	扭力
b'nd	牛郎
b'nk	年轻力壮
b'ma	牛马
b'mj	牛毛
b'mf	浓情蜜意
b'be	牛奶
b'bc	忸怩
b'b'	妞妞
b'bh	牛腩
b'bl	扭捏
b'bg	能屈能伸
b'lc	牛皮
b'ln	牛
b'le	牛排
b'li	牛棚
b'lk	拈轻怕重
b''c	牛气
b''g	扭曲
b''f	牛群
b'p	年轻人
b'pu	牛人
b'p;	牛肉
b'oo	扭送
b'y;	扭头
b'gc	牛市
b'gu	扭身
b'gd	扭伤
b'kp	扭转
b'k.	扭着
b'kg	扭住
b',n	宁缺毋滥
b'fy	纽约
b'fx	牛饮
b'fd	牛羊
b'f,	年轻有为
b';e	牛仔
bpeo	暖冬
bp.p	尼日尔
bpui	暖风
bpdr	暖和
bpdg	暖壶
bpcn	暖床
bphp	拿人家的手软
bpn'	暖流
bpng	暖炉
bpnf	尼日利亚
bpmm	牛肉面
bpbp	暖暖
bplt	暖瓶
bp'c	暖气
bpo.	暖色
bpob	能人所不能
bp,	女人味
bp,,	暖胃
bpq,	耐人寻味
bpfc	暖意
bpfd	暖阳
box'	宁死不屈
bojf	农村
bojr	弄错
boeh	浓淡
boem	弄点
boet	纳斯达克
boep	弄断
boeo	弄懂
boeg	浓度
boej	弄到
boe'	弄丢
bou	农妇
bouh	弄饭
boug	农夫
boii	农耕
bodj	弄好
bodd	农行
bodt	弄坏
bodr	农活
bodg	农户
bod;	浓厚
boc	农畜
boci	弄成
bocd	农场
boca	浓茶
boch	农产
bocg	弄出
boc;	浓稠
bocf	浓醇
bocu	弄臣
bocn	脓疮
bocj	拈酸吃醋
bohq	农家
bohg	农具
botu	农垦
bonc	农历
bonu	南斯拉夫
bonl	浓烈
bonp	弄乱
bomx	农民
bomj	农贸
bomd	农忙
bomc	浓密
bome	泥塑木雕
bobo	浓浓
bobg	农奴
bo't	弄清
boor	浓缩
booc	弄死
boym	农田
bog.	农舍
bok	浓妆
bokn	农庄
boko	浓重
bo,d	你死我活
boqn	浓香
boqm	农闲
boqy	农学
bofj	农药
bof.	农业
bofg	浓郁
bofh	浓烟
bofo	农用
bo;d	弄脏
byx;	牛头不对马嘴
byee	虐待
byei	脑体倒挂
byim	逆天改命
byhc	疟疾
bymm	牛头马面
byga	虐杀
bgxc	奴婢
bgje	奴才
bgud	怒放
bgdr	怒火
bgdj	怒号
bgde	能说会道
bgd.	怒喝
bgdq	拿手好戏
bgd;	怒吼
bgcc	怒斥
bghb	难上加难
bghq	泥沙俱下
bgn	奴隶
bgn'	泥石流
bgma	怒骂
bgmg	怒目
bgbu	难舍难分
bgbh	蹑手蹑脚
bglg	奴仆
bg'c	怒气
bg'e	南沙群岛
bg't	年少轻狂
bgpu	纳税人
bgph	年深日久
bgpj	傉
bgpo	怒容
bgoh	鸟兽散
bgo.	怒色
bggc	怒视
bgku	逆时针
bgkf	笯
bg,k	年少无知
bgqt	奴性
bgqk	逆水行舟
bgfc	奴役
bgf,	年少有为
bg;g	怒族
bg;k	努嘴
bkxh	女伴
bkxt	女兵
bkxk	南征北战
bkx,	宁折不弯
bkxd	难者不会
bkj.	女厕
bkej	哪知道
bked	脑震荡
bken	能者多劳
bkem	浓妆淡抹
bk.p	女儿
bk.q	恧
bkud	女方
bkio	女工
bkik	能征惯战
bkde	女孩
bkdn	女皇
bkht	女警
bkhp	女眷
bkhn	年终奖
bkhh	拿着鸡毛当令箭
bknd	女郎
bknh	女篮
bkn'	女流
bkbg	女奴
bklg	女仆
bkle	女排
bk'p	女权
bk'h	闹中取静
bk't	扭转乾坤
bkpu	女人
bko.	女色
bkyo	女童
bkgi	女生
bkgu	女神
bkgc	女士
bkgn	女双
bkgk	能征善战
bkkn	女装
bkk,	囊中之物
bk,d	女王
bk,a	女娃
bk,e	你争我夺
bk,i	你追我赶
bk,k	你知我知
bk,g	女巫
bk,g	能者为师
bkqt	女性
bkqo	囊中羞涩
bkqg	女婿
bkqq	女侠
bkfg	乃至于
bkfj	女妖
bkft	女婴
bkfd	捏着一把汗
bkfm	浓妆艳抹
bkfo	女佣
bkf;	女友
bk;c	女子
bk;g	女足
b,yk	内退
b,ye	内胎
b,gc	内饰
b,xg	内部
b,xc	内壁
b,xy	女娲补天
b,jf	内存
b,j.	内测
b,jh	内参
b,ji	内层
b,ec	内地
b,eh	内胆
b,et	内定
b,ug	内服
b,io	内功
b,i.	内阁
b,ih	内外勾结
b,ik	内鬼
b,dh	内涵
b,dj	内耗
b,d.	内核
b,dd	内行
b,do	内讧
b,h'	内疚
b,hc	内急
b,ht	内外交困
b,hm	内奸
b,hb	内角
b,hq	内外兼修
b,t.	内科
b,tn	内框
b,to	内控
b,tg	内裤
b,n	内里
b,nj	内涝
b,nc	内力
b,np	内乱
b,ng	内陆
b,nm	内敛
b,mg	内幕
b,ma	内码
b,mi	内蒙
b,b,	能文能武
b,'t	难为情
b,'x	内勤
b,'m	内嵌
b,po	内容
b,g.	内设
b,gd	内伤
b,g,	鸟为食亡
b,kj	内招
b,ke	内债
b,ki	内政
b,kc	内置
b,kh	内战
b,ko	内中
b,k,	逆我者亡
b,,e	内外
b,,d	内网
b,,g	内务
b,qx	内心
b,qn	内向
b,qm	内线
b,qb	内销
b,q'	内秀
b,qg	内需
b,fc	内衣
b,fx	内因
b,ft	内应
b,fo	宁为玉碎
b,ff	内蕴
b,;e	内在
b,;d	内脏
bqxj	脑细胞
bqeq	那些东西
bqex	内心独白
bqi.	那些个
bqd	女性化
bqdq	男性化
bqd'	宁夏回族自治区
bqcb	恼羞成怒
bqnh	纽西兰
bqbm	那些年
bqbe	难兄难弟
bqp	那些人
bqpu	哪些人
bqo,	逆向思维
bqgc	内心深处
bq,y	哪些问题
bqfo	怒形于色
bq;c	那小子
bq;h	弄虚作假
bq;g	纳西族
bfxd	捏一把汗
bfxk	南辕北辙
bfxq	奴颜婢膝
bfx	哪有不湿鞋
bfjc	哪一次
bfjq	匿影藏形
bfem	哪一点
bfed	那样的话
bfeq	农业大学
bfi.	哪一个
bfii	浓烟滚滚
bftp	哪一款
bfpc	年月日
bfiq	年逾古稀
bfdk	哪一回
bfdq	鸟语花香
bfcb	那一刹那
bfcu	弄月嘲风
bfy	哪一天
bfym	那一天
bfyj	那一套
bfhg	农业局
bfhp	娘要嫁人
bfmi	奴颜媚骨
bfmq	讷言敏行
bfgx	能言善辩
bfgy	难于上青天
bfko	哪一种
bfkq	难以置信
bfkf	难言之隐
bfkd	宁有种乎
bfky	你有张良计，我有过墙梯
bf,,	哪一位
bf,b	你以为呢
bf,d	内忧外患
bf,h	难以为继
bfq	弄一下
bfqy	脑溢血
bfqq	难以想象
bfqf	难以下咽
bff	暖洋洋
bfff	你一言我一语
bffd	农业银行
bf;f	那又怎样
b;xg	脑子不好使
b;in	内在规律
b;dh	男子汉
b;du	男子汉大丈夫
b;hf	娘子军
b;h,	宁做鸡头不做凤尾
b;tg	牛仔裤
b;bf	男左女右
b;bx	男尊女卑
b;yf	挪作他用
b;gq	泥足深陷
b;,g	农作物
b;;;	念兹在兹
b;nc	脑子里
bof	𬪩
bofb	𬪩
c	出
ca	差
caj	茶
cam	查
cau	插
cafe	叉
cafi	差
cax	察
caq	刹
cajy	茬
caum	搽
cax.	岔
catq	嚓
cat	喳
caf	叉
cag	碴
cami	槎
camc	杈
cae	汊
cab	姹
came	楂
cal	衩
cajm	茶
caxq	察
caqe	刹
caf'	诧
caec	汊
cab'	姹
calc	衩
cj	超
cjg	朝
cjd	炒
cjt	吵
cje	潮
cju	抄
cjk	巢
cjh	钞
cjdg	焯
cjke	剿
cjtr	嘲
cjr	晁
cjo	绰
cjy	超
cjgr	朝
cjtg	吵
cjer	潮
cjhg	钞
cjre	晁
ce	拆
cek	柴
cef	差
ceh	钗
cekj	豺
cep	侪
cefi	差
cekm	柴
cepn	侪
c.	车
c.uk	扯
c.u	撤
c.e	澈
c.c	彻
c.an	车
c.y	坼
c.l	掣
c.e,	澈
c.ce	彻
c.yc	坼
c.lg	掣
c.a	车
cu	陈
cut	臣
cur	晨
cuy	趁
cuq	尘
cu.e	陈
cue	沉
cuc	辰
cux	宸
cu,	琛
cud	称
cul	衬
cutx	嗔
cuqk	忱
cuu	抻
cufk	谌
cum	郴
cuf	谶
cug	碜
cup	伧
cu.	陈
cudq	称
cutn	臣
curb	晨
cuyl	趁
cuqy	尘
cueh	沉
cucb	辰
cuxb	宸
cu,m	琛
cum.	郴
cufh	谶
cugl	碜
cupk	伧
ci	成
ciy	城
cid,	程
cit	呈
ci'	乘
ci,k	成
cif	诚
cik	承
cid	称
ciu	撑
cim	橙
cie	澄
ciea	澄
cicm	盛
circ	晟
cidl	秤
cin	丞
cimk	骋
cih.	铛
ciuk	抢
ci;	逞
cic	惩
ciy,	埕
ciry	塍
cicy	蛏
cir	瞠
cimy	柽
cidq	称
ciyc	城
cit,	呈
ci'b	乘
cikb	承
cima	橙
cina	丞
ci;,	逞
cicq	惩
cd	长
cda	厂
cdy	场
cdt	唱
cdq	常
cdlb	长
cdrr	昌
cdqo	尝
cdr	肠
cdg	畅
cdqf	裳
cdet	淌
cdp	偿
cdb	娼
cdq,	敞
cdpr	倡
cdf	昶
cdbh	嫦
cdj	苌
cd'	猖
cdpc	伥
cdc	徜
cdjr	菖
cdar	鲳
cdm	阊
cdal	厂
cdyl	场
cdtr	唱
cdqh	常
cdrl	肠
cdgl	畅
cdpo	偿
cdbr	娼
cdfr	昶
cdjk	苌
cd'r	猖
cdmr	阊
cc	吃
ccu	持
ccy	赤
cce	池
cc;	迟
cct'	吃
ccg	尺
ccx	痴
cck	齿
ccm	驰
ccr	匙
ccgq	翅
cc.	耻
ccte	哧
ccl	斥
cci	弛
cct	嗤
cctx	叱
ccd	炽
ccg,	敕
ccyb	墀
ccgn	饬
cca	豉
ccp	侈
ccye	坻
cckt	笞
cc;t	踟
ccj	茌
cc,	啻
ccrt	眙
ccuj	持
ccgb	尺
ccxt	痴
ccmf	驰
ccme	柢
ccrx	匙
cc.k	耻
ccle	斥
ccif	弛
cctc	嗤
ccdx	炽
ccaf	豉
cc,t	啻
ch	产
chl	禅
cho	缠
chh	铲
chg	馋
chc	蝉
chul	掺
ch,	颤
chb	婵
chu	搀
chct	蟾
chm	阐
chq	忏
chx	单
che	潺
chg;	孱
chxn	单
chon	缠
chge	馋
chcn	蝉
ch,p	颤
chbn	婵
chue	搀
chmn	阐
chq'	忏
ct	揣
ct;	踹
ctt	啜
ct;.	踹
cttf	啜
ctu.	揣
cn	窗
cni	床
cnp	创
cnm	闯
cnh	幢
cnx,	窗
cnx	疮
cnq	怆
cnim	床
cnpe	创
cnhn	幢
cnxk	疮
cnqk	怆
cr	戳
crk	龊
crt	啜
cro	绰
cre	淖
crqi	戳
crc	辍
crkp	龊
crtf	啜
crog	绰
creg	淖
crcf	辍
cp	传
cpx	穿
cpk	船
cpl	川
cpn	串
cpt	喘
cpm	椽
cpq	舛
cph	钏
cp;	遄
cpkt	船
cpln	川
cpnn	串
cpmg	椽
cpr	䏝
cprk	䏝
cpqn	舛
cphc	钏
cp;.	遄
co	冲
col	重
cok	虫
co,	充
cod	种
cox	宠
co.	崇
cou	舂
coq	憧
coqk	忡
cola	重
coke	虫
coxn	宠
co.q	崇
cg	处
cgkt	出
cg.	除
cgl	初
cgm	楚
cg,x	处
cgp	储
cgc	厨
cge	触
cg,	畜
cglr	褚
cgeu	雏
cgh	锄
cgm,	杵
cgmj	橱
cgq	怵
cgg	础
cgg'	矗
cged	滁
cg;	躇
cgd	黜
cge.	刍
cgo	绌
cgu	搐
cg;j	蹰
cg.d	除
cgmp	楚
cgpr	储
cgcj	厨
cg,y	畜
cg;r	躇
cgdc	黜
cguy	搐
cgc	蜍
ck	吹
ckh	锤
ckl	垂
cku	捶
ckmu	椎
cktp	吹
ckm	槌
ckd	炊
ckmc	棰
ck.	陲
ckhc	锤
ckla	垂
ckuc	捶
ckdp	炊
ck.c	陲
ckt	圌
cf	纯
cfu	春
cfc	唇
cfuc	蠢
cff	醇
cfe	淳
cfm	椿
cf,	鹑
cfr	朐
cfrk	䏝
cfur	春
cfct	唇
cfmr	椿
cf,b	鹑
cfrt	朐
c;	抽
c;;	臭
c;k	丑
c;d	愁
c;p	仇
c;r	瞅
c;kj	筹
c;dt	稠
c;f	酬
c;o	绸
c;y	畴
c;yj	畤
c;pj	俦
c;;j	踌
c;x	瘳
c;mj	梼
c;mt	椆
c;;'	臭
c;ka	丑
c;ph	仇
c;rd	瞅
c;fk	酬
c;ot	绸
c;q	惆
c;xl	瘳
cdqc	唱戏
cdq	怅
cage	馇
cck	蚩
ccpq	傺
chf	谄
chfe	谗
cr;g	逴
cpt.	圌
coh	铳
coh.	铳
co,.	珫
ca.	嵖
ca.e	嵖
cah	镲
cahh	锸
caj'	苴
camq	檫
cap	侘
cap'	侘
camd	梌
ca;	蹅
cjn	耖
cjq	怊
cji	弨
cjit	弨
cjmd	槱
ce,	虿
ce,c	虿
cex	瘥
cexi	瘥
c.g	砗
c.r	㬚
c.r,	㬚
cuk	龀
cukx	龀
curx	瞋
cuxd	疢
cumk	梣
cupp	偁
cimc	枨
cil	裎
cil,	裎
ci,	珵
ci,n	琤
cif,	酲
cixc	宬
ci,c	珹
ciqf	牚
ciyp	赪
cie,	澂
ciqa	憕
cdqt	惝
cdqx	鬯
cdao	鲿
ccxq	瘛
ccie	魑
ccc	螭
ccb	媸
ccbc	媸
ccrq	眵
cclh	褫
cckh	篪
cclp	彳
ccpt	佁
cceq	奓
ccrf	胣
ccue	摛
ccce	螭
chee	澶
chm;	骣
chgf	羼
chhg	镡
ch.	巉
ch.e	巉
chhe	镵
chxb	冁
chj	蒇
chjp	蒇
ch;	躔
ch;y	躔
ch;.	辿
chr	旵
chr.	旵
cht	啴
chey	瀍
ctu	搋
ctuh	搋
cnt	噇
cntn	噇
cnmn	橦
cr;	踔
crq	惙
crqf	惙
cp'	氚
cpyr	堾
coj	茺
coj.	茺
cgmk	樗
cgpf	俶
cga	亍
cgae	亍
cg.n	亍
cgqp	憷
cgc.	䢺
cgm.	柷
cgkq	䝙
cgut	摴
cgep	濋
ckp	倕
ckpc	倕
ckq	惙
ckt.	圌
cfj	莼
cfjy	莼
cfcr	蝽
cfry	肫
cf,r	瑃
cfa	䲠
cfar	䲠
c;m	杻
c;h	帱
c;hj	帱
c;b	婤
c;bt	婤
c;pb	犨
ca'	猹
ca'e	猹
cl	产品
c,	成为
cq	出现
cy	传统
cx	成本
cb	承诺
c'	重启
cm	沉默
caxa	插拔
caxh	查办
caxb	查表
caxr	插播
caxl	差别
cax,	茶杯
cajj	插槽
cajr	差错
caej	岔道
caei	差等
caem	差点
caeg	查毒
caek	插队
ca..	差额
caui	查封
cauh	茶饭
caip	茶馆
caid	查岗
cair	查过
cai;	茶垢
cadj	插好
cad.	查核
cadr	查获
cadg	茶壶
cadq	插话
cacg	查出
caca	查查
cacj	查抄
cac.	叉车
cacc	差池
cahx	差劲
cahc	茶几
cahm	插件
cahy	察觉
cahg	差距
cahq	差价
catj	查考
cate	岔开
cath	查看
cato	插孔
cat;	插口
can.	差了
cane	尘埃落定
cang	岔路
can;	茶楼
camt	查明
caba	刹那
calb	查票
calt	差评
ca'c	岔气
ca'm	差钱
ca'g	插曲
capg	插入
cay;	插头
cay'	垞
cayg	插图
caga	查杀
cagj	叉烧
cagd	插上
cag.	茶社
cagc	查实
cagg	茶树
cagk	茶水
cag;	查收
cakj	查找
caki	查证
cakd	查账
cak;	茶轴
ca,u	查问
ca,h	茶碗
caqb	插销
caql	差些
caqg	插叙
caqq	查下
caqf	查询
cafj	叉腰
caf.	茶叶
cafd	插秧
cafc	差异
cafc	诧异
cafh	查验
cafp	茶园
cafy	查阅
ca;e	插在
ca;c	叉子
ca;r	插座
ca;g	插足
ca;k	插嘴
cxan	除暴安良
cxer	差不多
cxen	差不多了
cxeg	成败得失
cxeo	吃不到葡萄说葡萄酸
cxip	吃不惯
cxi'	喘不过气
cxit	丑八怪
cxd;	吃饱喝足
cxxb	吃不饱穿不暖
cxxq	常备不懈
cxcc	吃不吃
cxte	吃不开
cxt,	臭不可闻
cxn.	吃饱了
cxnm	唱白脸
cxnn	储备粮
cxne	吃饱了撑的
cxnk	吃饱了撑着
cxnd	成不了气候
cxny	秤不离砣
cxn;	吃不了兜着走
cxmi	吃闭门羹
cxye	差不太多
cxg.	出版社
cxgh	长白山
cxg'	成百上千
cxgk	赤膊上阵
cxk'	沉不住气
cxqq	吃不下
cxqb	吃不消
cxq'	吃不下去
cxqu	吃不下饭
cx;h	成败在此一举
cjxr	超薄
cjxe	朝拜
cjxu	抄本
cjxm	超编
cjxb	超标
cjx,	朝北
cjje	炒菜
cjea	超大
cjej	超导
cjee	朝代
cjec	抄底
cjeb	炒掉
cjeo	朝东
cjeg	超度
cjel	超跌
cjeh	春蚕到死丝方尽
cj..	超额
cjuh	超凡
cjug	朝服
cjir	超过
cjid	朝纲
cjio	朝贡
cjig	炒股
cjdo	潮红
cjdk	炒汇
cjd;	朝后
cjcg	超出
cjc.	超车
cjcd	超常
cjhc	超级
cjhm	朝见
cjhy	超绝
cjhq	吵架
cjhf	重操旧业
cjhd	趁此机会
cjtt	超快
cjne	陈词滥调
cjn.	炒了
cjnt	超龄
cjn'	潮流
cjng	抄录
cjm	超卖
cjme	超买
cjmc	炒米
cjmm	炒面
cjbj	吵闹
cjbh	朝南
cjbo	嘲弄
cjlb	钞票
cjlx	超频
cj'm	超前
cj'n	超强
cj'f	超群
cjpu	超人
cjpd	吵嚷
cjph	超然
cjoo	抄送
cjog	超速
cjyt	朝廷
cjym	朝天
cjyr	超脱
cjgi	超生
cjgd	朝上
cjgc	超市
cjgc	潮湿
cjgn	超爽
cjgk	潮水
cjk.	朝着
cjkc	超支
cjki	朝政
cjkr	超卓
cjko	超重
cjk,	除此之外
cjk;	潮州
cj,e	朝外
cjqc	抄袭
cjqt	吵醒
cjqn	朝向
cjqm	朝鲜
cjqb	嘲笑
cjql	抄写
cjqy	巢穴
cjqq	朝下
cjqf	潮汛
cjqj	出此下策
cjfy	超越
cjf.	朝野
cjfp	超员
cjfo	潮涌
cjfd	朝阳
cjfj	吃错药
cjfn	吃错药了
cjf,	长此以往
cj;r	炒作
cj;e	超载
cj;k	吵嘴
cjxj	抄报
cexq	拆东补西
cejj	柴草
cej	茝
cejc	茝
cejn	茝
ceej	柴刀
ceem	沉甸甸
ceeh	拆单
ceeb	拆掉
ceeg	抽刀断水
ceuu	拆分
ceuc	拆
ceua	拆法
ceui	拆封
ceuk	重蹈覆辙
ceug	臭豆腐
cedk	拆毁
cedr	柴火
cecg	拆除
ceci	拆成
cecp	拆穿
cehq	唱独角戏
cehd	闯荡江湖
cehc	船到江心补漏迟
cehm	拆建
cehl	拆借
cehf	赤道几内亚
cet	吃得开
cete	拆开
cen	吃多了
cen.	拆了
cend	豺狼
cenk	差旅
ce'c	充电器
ce'm	拆迁
ce''	拆东墙，补西墙
ce'k	船到桥头自然直
ce'f	超短裙
cepu	差人
ceoh	拆散
ceye	拆台
ceyk	吹得天花乱坠
ceyq	唱对台戏
ceg	成都市
cegc	差事
cegf	传道授业
cegn	车到山前必有路
cekn	拆装
cek'	沉得住气
cekq	赤胆忠心
ceq	唱大戏
ceqx	拆信
ceqc	拆洗
ceqm	拆线
ceql	拆卸
ceqq	拆下
ceqb	吃得消
cef;	柴油
ce;c	拆字
ce;y	迟到早退
c.xt	撤兵
c.x,	充耳不闻
c.jc	车次
c.ej	车道
c.ei	车灯
c.ec	彻底
c.eh	扯淡
c.eh	撤单
c.et	车顶
c.ep	扯断
c.eo	扯动
c.ek	车队
c.u.	出尔反尔
c.ud	撤防
c.ug	车夫
c.u,	车费
c.ig	彻骨
c.dk	撤回
c.dr	车祸
c.dj	车号
c.dp	撤换
c.d;	车后
c.ca	彻查
c.cu	车臣
c.ci	车程
c.cn	车窗
c.cp	车船
c.cg	扯出
c.hm	车间
c.hc	车技
c.hg	车距
c.hf	撤军
c.tg	车库
c.te	扯开
c.tn	车况
c.nn	车辆
c.nt	车龄
c.n.	撤了
c.nc	撤离
c.n'	车流
c.nf	车轮
c.mu	车门
c.ma	车马
c.b,	车内
c.le	车牌
c.li	车棚
c.lc	扯皮
c.lt	扯平
c.lb	车票
c.'m	车钱
c.o	撤诉
c.og	车速
c.ye	车胎
c.yk	撤退
c.y;	车头
c.gu	车身
c.gd	车上
c.gc	车市
c.g;	车手
c.k	车展
c.ka	车闸
c.kc	撤职
c.k.	车辙
c.kh	车站
c.kg	车主
c.k;	掣肘
c.,,	车位
c.,h	除恶务尽
c.,g	彻悟
c.qb	撤销
c.qt	车型
c.qn	车厢
c.qm	车险
c.qq	撤下
c.f.	彻夜
c.fp	扯远
c.fg	惩恶扬善
c.;c	车子
c.;e	车载
c.;;	撤走
cuac	尘埃
cuxj	晨报
cujg	陈醋
cue	出发点
cuec	沉底
cuem	沉淀
cuef	春风得意
cueb	唱反调
cuui	尘封
cuug	沉浮
cuum	春风拂面
cuin	晨光
cui;	尘垢
cuit	嗔怪
cuik	陈规
cudk	晨会
cudr	陈货
cudf	晨昏
cud.	超负荷
cudf	春风化雨
cucu	沉沉
cucp	沉船
cucg	春风吹又生
cuh'	陈旧
cuhx	沉浸
cuhc	趁机
cuht	沉静
cuh,	除非己莫为
cutg	衬裤
cun.	吃饭了
cunm	晨练
cunl	陈列
cunf	沉沦
cunx	车匪路霸
cumx	臣民
cumu	沉闷
cumc	沉迷
cumr	沉默
cumm	沉湎
cumm	春风满面
cubc	沉溺
cubn	陈酿
cubm	陈年
cubf	嘲风弄月
culj	晨跑
culc	陈皮
culn	乘风破浪
culg	长风破浪会有时
cu'	吃饭去
cu'n	吃饭去了
cu'f	衬裙
cu'l	臣妾
cu'g	晨曲
cup.	趁热
cupg	沉入
cupg	超凡入圣
cuoc	沉思
cuog	陈诉
cuyr	衬托
cuyo	沉痛
cuyo	超凡脱俗
cuyg	尘土
cuy;	出风头
cug.	陈设
cugc	尘世
cugh	衬衫
cugr	陈说
cugg	陈述
cugk	沉睡
cugm	充分说明
cug;	趁手
cuka	沉渣
cuk.	趁着
cukc	称职
cukr	沉着
cuko	沉重
cu,u	沉稳
cuqt	长方形
cuqx	称心
cuqc	晨曦
cuqk	冲锋陷阵
cufx	沉吟
cufe	春风一度
cufu	乘风扬帆
cufc	衬衣
cufp	尘缘
cu;j	趁早
cu;c	臣子
cu;k	沉醉
cikc	诚挚
cikk	常规战争
cix	城堡
cixa	称霸
cixd	城邦
cixj	承包
cixe	成败
cixu	成本
cixh	承办
cixt	称病
